Language Code,Language Name,Title (<=30 chars),Title Char Count,Short Description (<=80 chars),Short Desc Char Count,Full Description (<=4000 chars),Full Desc Char Count
en,English,P2P Connect - Offline Chat,26,Direct local peer-to-peer messaging & file transfer without internet or servers.,80,"P2P Connect lets you chat, call, and share files directly with nearby devices over local Wi-Fi or hotspot networks without needing an active internet connection or centralized servers.

Key Features:
• Direct Peer-to-Peer Chat & Voice/Video Calling
• Fast Local File & Media Sharing
• End-to-End Local Encryption & Total Privacy
• No Internet, Mobile Data, or Server Dependency
• Built-in Diagnostic & Network Tools",415
af,Afrikaans,P2P Connect - Geen Internet,27,Direkte eweknie-boodskappe en lêerdeling sonder internet of bedieners.,70,"P2P Connect laat jou gesels en lêers deel direk met nabygeleë toestelle oor plaaslike Wi-Fi sonder internet.

Kenmerke:
• Direkte eweknie-klets en oproepe
• Vinnige lêerdeling
• Volledige privaatheid sonder bedieners
• Werk heeltemal vanlyn",240
am,Amharic,P2P Connect - ያለ ኢንተርኔት,23,የእርስ በእርስ ቀጥተኛ የመልእክት እና የፋይል ማጋራት ያለ ኢንተርኔት።,45,"P2P Connect ያለ ኢንተርኔት ወይም አገልጋይ በአቅራቢያ ካሉ መሣሪያዎች ጋር በቀጥታ ለመወያየት እና ፋይሎችን ለማጋራት ያስችላል።

ባህሪያት:
• ቀጥተኛ የእርስ በእርስ ውይይት
• ፈጣን የፋይል ማጋራት
• ሙሉ ግላዊነት እና ደህንነት
• ያለ ኢንተርኔት ይሰራል",168
ar,Arabic,P2P Connect - دردشة بدون نت,27,دردشة ومشاركة ملفات مباشرة بين الأجهزة بدون إنترنت أو خوادم.,60,"يتيح لك P2P Connect الدردشة والمكالمات ومشاركة الملفات مباشرة مع الأجهزة القريبة عبر Wi-Fi المحلي دون الحاجة إلى اتصال بالإنترنت أو خوادم مركزية.

الميزات الرئيسية:
• دردشة ومكالمات مباشرة بدون إنترنت
• مشاركة سريعة للملفات والوسائط
• خصوصية تامة وتشفير محلي
• عمل كامل بدون بيانات الهاتف",288
az,Azerbaijani,P2P Connect - İntensiz Çat,26,İnternet və server olmadan birbaşa P2P mesajlaşma və fayl paylaşımı.,68,"P2P Connect sizə yerli Wi-Fi vasitəsilə internet olmadan yaxınlıqdakı cihazlarla birbaşa mesajlaşma və fayl paylaşma imkanı verir.

Xüsusiyyətlər:
• Birbaşa P2P çat və zənglər
• Sürətli fayl paylaşımı
• Tam məxfilik və təhlükəsizlik
• İnternetsiz tam işləmə",257
be,Belarusian,P2P Connect - Афлайн чат,24,Прамы P2P чат і абмен файламі без інтэрнэту і сервераў.,55,"P2P Connect дазваляе вам мець зносіны і абменьвацца файламі прама з прыладамі побач праз лакальны Wi-Fi без інтэрнэту.

Асаблівасці:
• Прамы P2P чат і званкі
• Хуткасны абмен файламі
• Поўная прыватнасць
• Працуе аўтаномна",222
bg,Bulgarian,P2P Connect - Офлайн чат,24,Директни P2P съобщения и споделяне на файлове без интернет.,59,"P2P Connect ви позволява да разговаряте и споделяте файлове директно с близки устройства през локален Wi-Fi без интернет.

Характеристики:
• Директен P2P чат и разговори
• Бързо споделяне на файлове
• Пълна поверителност
• Без нужда от сървъри",243
bn,Bengali,P2P Connect - চ্যাট,19,ইন্টারনেট বা সার্ভার ছাড়াই সরাসরি পিটুপি মেসেজিং এবং ফাইল শেয়ারিং।,68,"P2P Connect আপনাকে কোনো ইন্টারনেট সংযোগ ছাড়াই স্থানীয় Wi-Fi এর মাধ্যমে নিকটস্থ ডিভাইসের সাথে সরাসরি চ্যাট এবং ফাইল শেয়ার করতে দেয়।

বৈশিষ্ট্যসমূহ:
• সরাসরি P2P চ্যাট ও কল
• দ্রুত ফাইল শেয়ারিং
• সম্পূর্ণ গোপনীয়তা ও নিরাপত্তা
• সম্পূর্ণ অফলাইন মোড",252
bs,Bosnian,P2P Connect - Offline Chat,26,Direktno P2P dopisivanje i dijeljenje datoteka bez interneta.,61,"P2P Connect vam omogućava direktan chat i dijeljenje datoteka s uređajima u blizini putem lokalnog Wi-Fi-ja bez interneta.

Karakteristike:
• Direktni P2P chat i pozivi
• Brzo dijeljenje datoteka
• Potpuna privatnost
• Radi bez interneta",237
ca,Catalan,P2P Connect - Xat offline,25,Missatgeria directa P2P i compartició de fitxers sense internet.,64,"P2P Connect et permet xatejar i compartir fitxers directament amb dispositius propers mitjançant Wi-Fi local sense internet.

Característiques:
• Xat directe P2P i trucades
• Compartició ràpida de fitxers
• Privacitat total i seguretat
• Funciona totalment fora de línia",270
cs,Czech,P2P Connect - Offline chat,26,Přímé P2P zprávy a sdílení souborů bez internetu a serverů.,59,"P2P Connect vám umožňuje chatovat a sdílet soubory přímo s blízkými zařízeními přes lokální Wi-Fi bez internetu.

Klíčové funkce:
• Přímý P2P chat a hovory
• Rychlé sdílení souborů
• Úplné soukromí a bezpečnost
• Funguje zcela offline",234
da,Danish,P2P Connect - Offline chat,26,Direkte P2P-beskeder og fildeling uden internet eller servere.,62,"P2P Connect lader dig chatte og dele filer direkte med enheder i nærheden via lokalt Wi-Fi uden internet.

Funktioner:
• Direkte P2P-chat og opkald
• Hurtig fildeling
• Fuld fortrolighed
• Virker helt offline",208
