Language Code,App Name (Max 30 Chars),Short Description (Max 80 Chars),Full Description (Max 4000 Chars)
af,P2P Connect (AF),Secure local P2P offline messaging & file sharing in local network (AF).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
am,P2P Connect (AM),Secure local P2P offline messaging & file sharing in local network (AM).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ar,P2P Connect - دردشة مباشرة,مراسلة آمنة من نظير لنظير ومشاركة الملفات دون إنترنت على شبكتك المحلية.,"P2P Connect هو تطبيق تواصل آمن ومباشر من نظير لنظير (P2P) مصمم للشبكات المحلية والاتصالات غير المتصلة بالإنترنت. عبر العمل مباشرة بين الأجهزة دون خوادم وسيطة، يضمن خصوصية مطلقة وسرعات نقل فائقة.

المميزات الرئيسية:
- اكتشاف محلي فوري: تواصل فوراً مع الأقران على شبكة الواي فاي المحلية نفسها.
- نقل ملفات فائق السرعة: شارك صور HD والملفات الكبيرة مباشرة دون استهلاك باقة الإنترنت.
- مكالمات فيديو HD: مكالمات مرئية وصوتية مباشرة بأقل وقت تأخير.
- رسائل صوتية آمنة: سجل مذكراتك الصوتية وأرسلها محلياً بأمان تام.
- لا يوجد خادم مركزي: تُخزن رسائلك وملفاتك على جهازك الفعلي فقط وبشكل آمن."
az,P2P Connect (AZ),Secure local P2P offline messaging & file sharing in local network (AZ).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
bg,P2P Connect (BG),Secure local P2P offline messaging & file sharing in local network (BG).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
bn,P2P Connect (BN),Secure local P2P offline messaging & file sharing in local network (BN).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
bs,P2P Connect (BS),Secure local P2P offline messaging & file sharing in local network (BS).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ca,P2P Connect (CA),Secure local P2P offline messaging & file sharing in local network (CA).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
cs,P2P Connect - Přímý chat,Zabezpečené offline P2P posílání zpráv a sdílení souborů v lokální síti.,P2P Connect je zabezpečená aplikace pro přímou komunikaci peer-to-peer (P2P) v lokálních sítích. Funguje bez nutnosti internetu.
da,P2P Connect - Direkte Chat,Sikker offline peer-to-peer beskeder og fildeling på lokalt netværk.,P2P Connect er en sikker peer-to-peer kommunikationsapp til lokale netværk. Forbind direkte uden brug af eksterne servere.
